Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
ABATE,1,5,7,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5.89,5.93,5.89,5.8,6.13,5.93,5.75,5.91,6.12,5.89,18,23,26,23,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,MILAN,MILAN,Milan,Milan
ABBIATI,4,0,0,,0,,0,0,0,,0,0,,1,1,0,0,,0,0,0,,0,0,31,8,0,,0,0,4.7,5.35,4.7,5.35,6.5,,5.98,6.15,6.5,,28,10,1,,0,0,0,,0,0,0,,G,G,G,,0,,0,0,0,,MILAN,MILAN,Milan,
ACERBI,1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,0,0,0,0,0,0,0,1,5.62,6.19,5.62,6.19,6.64,6.45,5.65,6.05,6.35,6.16,13,32,36,38,0,0,0,1,0,0,0,0,D,D,D,D,0,1,0,0,0,0,SASSUOLO,SASSUOLO,Sassuolo,Sassuolo
ACOSTY,1,,,2,,0,0,,,0,,,0,0,0,,,0,0,,,0,0,,0,,,0,0,,5.63,,5.63,,,5.83,5.75,,,5.94,4,,,9,0,,,0,0,,,0,M,,,F,,0,0,,,0,CHIEVO,,,Crotone
ACQUAFRESCA,1,,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,5.2,,5.2,,5.25,0,5.23,,5.25,0,15,,4,0,0,,0,0,0,,0,0,F,,F,F,0,0,0,,0,0,BOLOGNA,,Bologna,Bologna
ACQUAH,6,9,9,2,0,0,1,0,2,0,0,0,0,0,0,2,0,3,1,1,2,2,0,0,0,0,0,0,0,0,6.22,5.56,6.17,5.56,6.09,6.06,6.17,5.71,5.97,5.94,23,24,29,16,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,PARMA,SAMPDORIA,Torino,Torino
ADAN GARRIDO,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,4,,,,0,,3,,3,,,,5,,,,2,,,,0,,,,0,,,,G,,,,,,0,,,,CAGLIARI,,,
ADJAPONG,,,0,3,0,0,,,0,0,,0,0,,,,0,0,,,0,1,,,,,0,0,,,,,,,6,6,,,6,5.75,,,1,6,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Sassuolo,Sassuolo
ADNAN,,,6,2,0,0,,,1,0,,0,0,,,,0,0,,,1,0,,,,,0,0,,,,,,,6.05,5.54,,,6.02,5.61,,,28,14,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Udinese,Udinese
ADRYAN,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.75,,5.75,,,,5.75,,,,4,,,,0,,,,0,,,,M,,,,,,0,,,,CAGLIARI,,,
